id,match,match_label,set,set_label,clue,solution,right,wrong,right_team,right_team_label,wrong_team,wrong_team_label,#
1,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,MRN G,MERINGUE,"[4,5]",[],2,Knitters,,,1
38,4,S01E04: Science Writers [25 | 18] Travel Writers,11,Famous TV newsreaders,GR GLGH,GEORGE ALAGIAH,[],[19],,,7,Science Writers,2
39,4,S01E04: Science Writers [25 | 18] Travel Writers,11,Famous TV newsreaders,MRS TRT,MOIRA STUART,[22],[],8,Travel Writers,,,3
40,4,S01E04: Science Writers [25 | 18] Travel Writers,11,Famous TV newsreaders,RBR TDGLL,ROBERT DOUGALL,[23],[],8,Travel Writers,,,4
41,4,S01E04: Science Writers [25 | 18] Travel Writers,12,Beethoven piano sonatas,PT HTQ,PATHÉTIQUE,[21],[],7,Science Writers,,,1
42,4,S01E04: Science Writers [25 | 18] Travel Writers,12,Beethoven piano sonatas,PP SS NT,APPASSIONATA,[21],[],7,Science Writers,,,2
43,4,S01E04: Science Writers [25 | 18] Travel Writers,12,Beethoven piano sonatas,HM MRKL VR,HAMMERKLAVIER,[21],[],7,Science Writers,,,3
44,4,S01E04: Science Writers [25 | 18] Travel Writers,12,Beethoven piano sonatas,WL DSTN,WALDSTEIN,[21],[],7,Science Writers,,,4
45,4,S01E04: Science Writers [25 | 18] Travel Writers,13,Varieties of potato,DSR,DESIRÉE,[24],[],8,Travel Writers,,,1
46,4,S01E04: Science Writers [25 | 18] Travel Writers,13,Varieties of potato,RDPN TC,RED PONTIAC,[],[],,,,,2
47,4,S01E04: Science Writers [25 | 18] Travel Writers,13,Varieties of potato,S TM,ESTIMA,[],[],,,,,3
48,4,S01E04: Science Writers [25 | 18] Travel Writers,13,Varieties of potato,MR SPP R,MARIS PIPER,[21],[],7,Science Writers,,,4
49,4,S01E04: Science Writers [25 | 18] Travel Writers,14,Mike Leigh films,CR RGR LS,CAREER GIRLS,[21],[],7,Science Writers,,,1
50,4,S01E04: Science Writers [25 | 18] Travel Writers,14,Mike Leigh films,VRD RK,VERA DRAKE,[23],[],8,Travel Writers,,,2
51,4,S01E04: Science Writers [25 | 18] Travel Writers,14,Mike Leigh films,L LRNT HN G,ALL OR NOTHING,[21],[],7,Science Writers,,,3
52,4,S01E04: Science Writers [25 | 18] Travel Writers,14,Mike Leigh films,LFSS WT,LIFE IS SWEET,[23],[],8,Travel Writers,,,4
53,4,S01E04: Science Writers [25 | 18] Travel Writers,15,Major rivers of the World,NDS,INDUS,[21],[],7,Science Writers,,,1
54,4,S01E04: Science Writers [25 | 18] Travel Writers,15,Major rivers of the World,RN C,ORINOCO,[21],[],7,Science Writers,,,2
55,4,S01E04: Science Writers [25 | 18] Travel Writers,15,Major rivers of the World,SN,SEINE,[],[],,,,,3
56,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,16,Shakespearean opening lines,W HNS HL LWT HRM TGN,WHEN SHALL WE THREE MEET AGAIN,[25],[],9,Edinburgh Scrabblers,,,1
57,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,16,Shakespearean opening lines,FMS CBT HFDFLVP LYN,"IF MUSIC BE THE FOOD OF LOVE, PLAY ON",[29],[],10,Solent Scrabblers,,,2
58,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,16,Shakespearean opening lines,NWST HWN TRFRDS CNTN T,NOW IS THE WINTER OF OUR DISCONTENT,[26],[],9,Edinburgh Scrabblers,,,3
59,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,16,Shakespearean opening lines,NWFRH PPL YTRNP TLHR,"NOW, FAIR HIPPOLYTA, OUR NUPTIAL HOUR",[],[],,,,,4
60,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,17,Meteorological terms,RPL LTN,AIR POLLUTION,[28],[],10,Solent Scrabblers,,,1
61,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,17,Meteorological terms,ST HR M,ISOTHERM,[25],[],9,Edinburgh Scrabblers,,,2
62,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,17,Meteorological terms,T MSP HRCP RS SR,ATMOSPHERIC PRESSURE,[25],[],9,Edinburgh Scrabblers,,,3
63,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,17,Meteorological terms,MS TR,MOISTURE,[27],[],9,Edinburgh Scrabblers,,,4
64,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,18,Caribbean islands,N TG,ANTIGUA,[29],[],10,Solent Scrabblers,,,1
65,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,18,Caribbean islands,PR TRC,PUERTO RICO,[30],[],10,Solent Scrabblers,,,2
66,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,18,Caribbean islands,RB,ARUBA,[25],[],9,Edinburgh Scrabblers,,,3
67,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,18,Caribbean islands,HT,HAITI,[25],[],9,Edinburgh Scrabblers,,,4
68,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,19,Latin legal phrases,CV TM PTR,CAVEAT EMPTOR,[25],[],9,Edinburgh Scrabblers,,,1
69,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,19,Latin legal phrases,NLCP RN TS,IN LOCO PARENTIS,[25],[],9,Edinburgh Scrabblers,,,2
70,5,S01E05: Edinburgh Scrabblers [22 | 20] Solent Scrabblers,19,Latin legal phrases,PR SNN NG RT,PERSONA NON GRATA,[27],[],9,Edinburgh Scrabblers,,,3
71,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,20,Native British trees,SC TS PN,SCOTS PINE,[33],[],11,Urban Cyclists,,,1
72,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,20,Native British trees,C RBP PL,CRAB APPLE,[31],[],11,Urban Cyclists,,,2
73,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,20,Native British trees,FL DMP L,FIELD MAPLE,[32],[],11,Urban Cyclists,,,3
74,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,20,Native British trees,S PN,ASPEN,[32],[35],11,Urban Cyclists,12,Country Walkers,4
75,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,21,Dickens quotations,LV RT WS THSS KDF RMR,OLIVER TWIST HAS ASKED FOR MORE,[],[],,,,,1
76,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,21,Dickens quotations,TSF RFRBT TRT HN GT HTD,"IT IS A FAR, FAR BETTER THING THAT I DO",[],[31],,,11,Urban Cyclists,2
77,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,21,Dickens quotations,MT HG HS TFC HRS T MSPS T,I AM THE GHOST OF CHRISTMAS PAST,[31],[],11,Urban Cyclists,,,3
78,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,21,Dickens quotations,NTTP TTFN PN TNT,NOT TO PUT TOO FINE A POINT ON IT,[],[],,,,,4
79,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,22,Film musicals,SN GNNT HRN,SINGIN' IN THE RAIN,[34],[],12,Country Walkers,,,1
80,6,S01E06: Urban Cyclists [18 | 22] Country Walkers,22,Film musicals,K LHM,OKLAHOMA,[],[],,,,,2
81,7,S01E07: Bankers [24 | 23] Bookkeepers,23,Dog breeds,PN TR,POINTER,[41],[],14,Bookkeepers,,,1
82,7,S01E07: Bankers [24 | 23] Bookkeepers,23,Dog breeds,FG HNHN D,AFGHAN HOUND,[],[37],,,13,Bankers,2
83,7,S01E07: Bankers [24 | 23] Bookkeepers,23,Dog breeds,RS HTR RR,IRISH TERRIER,[37],[42],13,Bankers,14,Bookkeepers,3
84,7,S01E07: Bankers [24 | 23] Bookkeepers,23,Dog breeds,L DN GLS HS HPDG,OLD ENGLISH SHEEPDOG,[41],[],14,Bookkeepers,,,4
85,7,S01E07: Bankers [24 | 23] Bookkeepers,24,Furniture designers,RNJCB SN,ARNE JACOBSEN,[],[],,,,,1
86,7,S01E07: Bankers [24 | 23] Bookkeepers,24,Furniture designers,LNG RY,EILEEN GRAY,[],[],,,,,2
87,7,S01E07: Bankers [24 | 23] Bookkeepers,24,Furniture designers,LCR BSR,LE CORBUSIER,[41],[38],14,Bookkeepers,13,Bankers,3
88,7,S01E07: Bankers [24 | 23] Bookkeepers,24,Furniture designers,MR CLB RR,MARCEL BREUER,[],[],,,,,4
89,7,S01E07: Bankers [24 | 23] Bookkeepers,25,Winston Churchill quotations,T HSWST HRFNS THR,THIS WAS THEIR FINEST HOUR,[],[40],,,14,Bookkeepers,1
90,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,26,Explorers,RL DMN DSN,ROALD AMUNDSEN,[45],[],15,Cricket Supporters,,,1
91,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,26,Explorers,SRR NLP HFN NS,SIR RANULPH FIENNES,[45],[],15,Cricket Supporters,,,2
92,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,26,Explorers,VS CDGM,VASCO DA GAMA,[45],[],15,Cricket Supporters,,,3
93,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,26,Explorers,MR GVS PC C,AMERIGO VESPUCCI,[45],[],15,Cricket Supporters,,,4
94,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,27,Chemicals used at home,CS TCSD,CAUSTIC SODA,[46],[45],16,IT Supporters,15,Cricket Supporters,1
95,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,27,Chemicals used at home,P SMSL TS,EPSOM SALTS,[47],[],16,IT Supporters,,,2
96,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,27,Chemicals used at home,TR PN TN,TURPENTINE,[47],[],16,IT Supporters,,,3
97,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,27,Chemicals used at home,LFWN TRG RN,OIL OF WINTERGREEN,[],[46],,,16,IT Supporters,4
98,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,28,Beef dishes,BR GG NN,BOURGUIGNON,[45],[],15,Cricket Supporters,,,1
99,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,28,Beef dishes,ST KPV R,STEAK AU POIVRE,[48],[43],16,IT Supporters,15,Cricket Supporters,2
100,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,28,Beef dishes,BF ND LP,BEEF AND ALE PIE,[48],[],16,IT Supporters,,,3
101,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,28,Beef dishes,C HL LCNCR N,CHILLI CON CARNE,[46],[],16,IT Supporters,,,4
102,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,29,Percy Bysshe Shelley poems,DTT HWS TWN D,ODE TO THE WEST WIND,[48],[],16,IT Supporters,,,1
103,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,29,Percy Bysshe Shelley poems,THT RMP HFLF,THE TRIUMPH OF LIFE,[],[],,,,,2
104,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,29,Percy Bysshe Shelley poems,PP SY CHDN,EPIPSYCHIDION,[],[],,,,,3
105,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,29,Percy Bysshe Shelley poems,DNS,ADONAIS,[48],[],16,IT Supporters,,,4
106,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,30,Nursery rhymes,NT WBC KLM YS H,"ONE, TWO, BUCKLE MY SHOE",[],[],,,,,1
107,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,30,Nursery rhymes,L DKN GCL,OLD KING COLE,[45],[],15,Cricket Supporters,,,2
108,8,S01E08: Cricket Supporters [20 | 28] IT Supporters,30,Nursery rhymes,PPGST HWS L,POP GOES THE WEASEL,[],[45],,,15,Cricket Supporters,3
109,9,S01E09: County Councillors [13 | 14] Science Writers,31,Star constellations,ND RMD,ANDROMEDA,[14],[],5,County Councillors,,,1
110,9,S01E09: County Councillors [13 | 14] Science Writers,31,Star constellations,RD NS,ERIDANUS,[],[],,,,,2
111,9,S01E09: County Councillors [13 | 14] Science Writers,31,Star constellations,R SMN R,URSA MINOR,[14],[],5,County Councillors,,,3
112,9,S01E09: County Councillors [13 | 14] Science Writers,31,Star constellations,RN,ORION,[19],[],7,Science Writers,,,4
113,9,S01E09: County Councillors [13 | 14] Science Writers,32,Gospel quotations,MT HB RDFLF,I AM THE BREAD OF LIFE,[21],[],7,Science Writers,,,1
114,9,S01E09: County Councillors [13 | 14] Science Writers,32,Gospel quotations,HTH TSNTWT HMSG NS TM,HE THAT IS NOT WITH ME IS AGAINST ME,[],[21],,,7,Science Writers,2
115,9,S01E09: County Councillors [13 | 14] Science Writers,32,Gospel quotations,MT HRSR RC TNN DT HLF,"I AM THE RESURRECTION, AND THE LIFE",[],[],,,,,3
116,9,S01E09: County Councillors [13 | 14] Science Writers,32,Gospel quotations,MNS HL LNTL VB YB RDLN,MAN SHALL NOT LIVE BY BREAD ALONE,[14],[],5,County Councillors,,,4
117,9,S01E09: County Councillors [13 | 14] Science Writers,33,Restoration comedies,T HCN TR YWF,THE COUNTRY WIFE,[14],[],5,County Councillors,,,1
118,9,S01E09: County Councillors [13 | 14] Science Writers,33,Restoration comedies,LVFRLV,LOVE FOR LOVE,[21],[],7,Science Writers,,,2
119,9,S01E09: County Councillors [13 | 14] Science Writers,33,Restoration comedies,T HWYFT HWR LD,THE WAY OF THE WORLD,[21],[],7,Science Writers,,,3
120,9,S01E09: County Councillors [13 | 14] Science Writers,33,Restoration comedies,THM NFMD,THE MAN OF MODE,[],[],,,,,4
121,9,S01E09: County Councillors [13 | 14] Science Writers,34,Poker terms,DL RBT TN,DEALER BUTTON,[14],[],5,County Councillors,,,1
122,9,S01E09: County Councillors [13 | 14] Science Writers,35,Tiebreaker,TTH VC TRT HSPL S,"TO THE VICTOR, THE SPOILS",[20],[],7,Science Writers,,,1
123,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,36,Musicals by Stephen Sondheim,SSS SNS,ASSASSINS,[],[],,,,,1
124,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,36,Musicals by Stephen Sondheim,N YNCNW HS TL,ANYONE CAN WHISTLE,[8],[],3,Crossworders,,,2
125,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,36,Musicals by Stephen Sondheim,NTT HWD S,INTO THE WOODS,[7],[],3,Crossworders,,,3
126,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,36,Musicals by Stephen Sondheim,LT TLNG HTM SC,A LITTLE NIGHT MUSIC,[8],[],3,Crossworders,,,4
127,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,37,Fencing terms,RT RT,RETREAT (accepted RETRAITE),[26],[],9,Edinburgh Scrabblers,,,1
128,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,37,Fencing terms,CL,COULÉ,[],[27],,,9,Edinburgh Scrabblers,2
129,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,37,Fencing terms,CN TRR PS T,COUNTER-RIPOSTE (accepted CONTRE-RIPOSTE),[27],[8],9,Edinburgh Scrabblers,3,Crossworders,3
130,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,37,Fencing terms,RMS,REMISE,[],[],,,,,4
131,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,38,Geometric figures,S CLNT RN GL,SCALENE TRIANGLE,[8],[],3,Crossworders,,,1
132,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,38,Geometric figures,C THD RN,OCTAHEDRON,[27],[],9,Edinburgh Scrabblers,,,2
133,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,38,Geometric figures,SMCR CL,SEMICIRCLE,[27],[],9,Edinburgh Scrabblers,,,3
134,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,38,Geometric figures,PRL LLP PD,PARALLELEPIPED,[26],[],9,Edinburgh Scrabblers,,,4
135,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,39,Philanthropists,LF RDNBL,ALFRED NOBEL,[8],[],3,Crossworders,,,1
136,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,39,Philanthropists,GR GSRS,GEORGE SOROS,[8],[],3,Crossworders,,,2
137,10,S01E10: Crossworders [24 | 19] Edinburgh Scrabblers,39,Philanthropists,WL LMWL BRF RC,WILLIAM WILBERFORCE,[8],[],3,Crossworders,,,3
138,11,S01E11: Bankers [14 | 13] IT Supporters,40,People who were beheaded,NNB LYN,ANNE BOLEYN,[38],[],13,Bankers,,,1
139,11,S01E11: Bankers [14 | 13] IT Supporters,40,People who were beheaded,MRN TNTT,MARIE ANTOINETTE,[47],[],16,IT Supporters,,,2
140,11,S01E11: Bankers [14 | 13] IT Supporters,40,People who were beheaded,SRT HMSMR,SIR THOMAS MORE,[],[],,,,,3
141,11,S01E11: Bankers [14 | 13] IT Supporters,40,People who were beheaded,DWR DP LN TGNT,EDWARD PLANTAGENET,[47],[],16,IT Supporters,,,4
142,11,S01E11: Bankers [14 | 13] IT Supporters,41,John Donne quotations,FRW HMT HBL LTL LS,FOR WHOM THE BELL TOLLS,[38],[],13,Bankers,,,1
143,11,S01E11: Bankers [14 | 13] IT Supporters,41,John Donne quotations,NMNSNS LN DN TRFTSLF,"NO MAN IS AN ISLAND, ENTIRE OF ITSELF",[],"[38,48]",,,13,Bankers,2
144,11,S01E11: Bankers [14 | 13] IT Supporters,41,John Donne quotations,JH NDN NNNDNNNDN,"JOHN DONNE, ANNE DONNE, UN-DONE",[],[],,,,,3
145,11,S01E11: Bankers [14 | 13] IT Supporters,42,Glacial geography,R RTC,ERRATIC,[],[38],,,13,Bankers,1
146,11,S01E11: Bankers [14 | 13] IT Supporters,42,Glacial geography,MD LMR N,MEDIAL MORAINE,[38],[],13,Bankers,,,2
147,11,S01E11: Bankers [14 | 13] IT Supporters,43,Tiebreaker,VNV DVC,"VENI, VIDI, VICI",[38],[],13,Bankers,,,1
148,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,44,P.G. Wodehouse characters,BR TWS TR,BERTIE WOOSTER,[1],[],1,Lapsed Psychologists,,,1
149,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,44,P.G. Wodehouse characters,LR DM SWR TH,LORD EMSWORTH,[],"[35,1]",,,12,Country Walkers,2
150,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,44,P.G. Wodehouse characters,GLH DT HRP WD,GALAHAD THREEPWOOD,[],[],,,,,3
151,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,44,P.G. Wodehouse characters,N TGT H,AUNT AGATHA,[3],[],1,Lapsed Psychologists,,,4
152,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,45,Pilgrimage sites,NG KRWT,ANGKOR WAT,[1],[],1,Lapsed Psychologists,,,1
153,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,45,Pilgrimage sites,VR NS,VARANASI,[],[],,,,,2
154,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,45,Pilgrimage sites,FTM,FÁTIMA,[34],[],12,Country Walkers,,,3
155,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,45,Pilgrimage sites,SSS,ASSISI,[2],[],1,Lapsed Psychologists,,,4
156,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,46,Cole Porter songs,BG NTHB GN,BEGIN THE BEGUINE,[1],[],1,Lapsed Psychologists,,,1
157,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,46,Cole Porter songs,TDR NHT,TOO DARN HOT,[],[],,,,,2
158,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,46,Cole Porter songs,LT SDT,LET'S DO IT,[34],[],12,Country Walkers,,,3
159,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,46,Cole Porter songs,VG TYN DRM YS KN,I'VE GOT YOU UNDER MY SKIN,[],[],,,,,4
160,12,S01E12: Lapsed Psychologists [14 | 11] Country Walkers,47,Terms in calculus,B SLTCN VR GNC,ABSOLUTE CONVERGENCE,[],[],,,,,1
161,13,S01E13: Crossworders [18 | 9] Science Writers,48,Garden designers,LN CLTC PBLT YB RWN,LANCELOT 'CAPABILITY' BROWN,[8],[],3,Crossworders,,,1
162,13,S01E13: Crossworders [18 | 9] Science Writers,48,Garden designers,VTSC KVL LWST,VITA SACKVILLE-WEST,[8],[],3,Crossworders,,,2
163,13,S01E13: Crossworders [18 | 9] Science Writers,48,Garden designers,NHML TNFN LY,IAN HAMILTON FINLAY,[],[],,,,,3
164,13,S01E13: Crossworders [18 | 9] Science Writers,48,Garden designers,GF FR YJL LC,GEOFFREY JELLICOE,[],"[8,21]",,,3,Crossworders,4
165,13,S01E13: Crossworders [18 | 9] Science Writers,49,Religious texts,MH BHRT,MAHĀBHĀRATA,[21],[],7,Science Writers,,,1
166,13,S01E13: Crossworders [18 | 9] Science Writers,49,Religious texts,PR LFG RTP RC,PEARL OF GREAT PRICE,[],[],,,,,2
167,13,S01E13: Crossworders [18 | 9] Science Writers,49,Religious texts,TL MD,TALMUD,[21],[],7,Science Writers,,,3
168,13,S01E13: Crossworders [18 | 9] Science Writers,49,Religious texts,DMN DST R,DIAMOND SUTRA,[],[],,,,,4
169,13,S01E13: Crossworders [18 | 9] Science Writers,50,Photographic terms,PR TRP RRTY,APERTURE PRIORITY,[],[],,,,,1
170,13,S01E13: Crossworders [18 | 9] Science Writers,50,Photographic terms,LTN TMG,LATENT IMAGE,[],[],,,,,2
171,14,S01E14: Bankers [9 | 19] Lapsed Psychologists,51,Impressionist painters,DR DM NT,EDOUARD MANET,[3],[],1,Lapsed Psychologists,,,1
